,crash_free,crash_free_rate,crashed_trials,mean_collisions,max_collisions,mean_min_clear,mean_smooth,max_smooth,joint_limit_trials,max_joint_viol,mean_iters,total_time_s,mean_ms_per_sample
model,70/100,0.7,30,4.66,84,0.013330743797123432,0.8546464495360852,1.757379174232483,16,0.2602810859680176,,0.8036565780639648,8.036565780639648
CHOMP from scratch,63/100,0.63,37,4.11,30,-0.031016112193465232,1.069571942538023,5.801977634429932,28,2.1533396244049072,20.98,22.594037771224976,225.94037771224976
model + CHOMP,93/100,0.9299999999999999,7,0.78,18,0.03110904060304165,0.857544846534729,2.6420130729675293,7,1.0460236072540283,5.43,6.204979419708252,62.04979419708252
CHOMP + extra losses,62/100,0.62,38,4.29,26,-0.03230630233883858,2.603134061694145,31.415576934814453,44,12.677512168884277,24.37,47.25578498840332,472.5578498840332
model + CHOMP + extra losses,93/100,0.9299999999999999,7,0.82,18,0.030887868255376816,0.8442232450842857,1.7068581581115723,7,1.0385918617248535,5.46,10.681642293930054,106.81642293930054
